OBJECTID,Mobile_Site,Address,Street,City,State,Zipcode,ResultID,X,Y,ID,sourceCountry,ENRICH_FID,areaType,bufferUnits,bufferUnitsAlias,bufferRadii,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,MEDWAGE_CY,WHTM65_CY,WHTM70_CY,WHTM75_CY,WHTM80_CY,WHTM85_CY,WHTF65_CY,WHTF70_CY,WHTF75_CY,WHTF80_CY,WHTF85_CY,WAGEBASECY,WHTMBASECY,WHTFBASECY,MEDBAGE_CY,BLKM65_CY,BLKM70_CY,BLKM75_CY,BLKM80_CY,BLKM85_CY,BLKF65_CY,BLKF70_CY,BLKF75_CY,BLKF80_CY,BLKF85_CY,BAGEBASECY,BLKMBASECY,BLKFBASECY,MEDIAGE_CY,AIM65_CY,AIM70_CY,AIM75_CY,AIM80_CY,AIM85_CY,AIF65_CY,AIF70_CY,AIF75_CY,AIF80_CY,AIF85_CY,IAGEBASECY,AIMBASE_CY,AIFBASE_CY,MEDAAGE_CY,ASNM65_CY,ASNM70_CY,ASNM75_CY,ASNM80_CY,ASNM85_CY,ASNF65_CY,ASNF70_CY,ASNF75_CY,ASNF80_CY,ASNF85_CY,AAGEBASECY,ASNMBASECY,ASNFBASECY,MEDPAGE_CY,PIM65_CY,PIM70_CY,PIM75_CY,PIM80_CY,PIM85_CY,PIF65_CY,PIF70_CY,PIF75_CY,PIF80_CY,PIF85_CY,PAGEBASECY,PIMBASE_CY,PIFBASE_CY,MEDOAGE_CY,OTHM65_CY,OTHM70_CY,OTHM75_CY,OTHM80_CY,OTHM85_CY,OTHF65_CY,OTHF70_CY,OTHF75_CY,OTHF80_CY,OTHF85_CY,OAGEBASECY,OTHMBASECY,OTHFBASECY,MEDHAGE_CY,HSPM65_CY,HSPM70_CY,HSPM75_CY,HSPM80_CY,HSPM85_CY,HSPF65_CY,HSPF70_CY,HSPF75_CY,HSPF80_CY,HSPF85_CY,HAGEBASECY,HSPMBASECY,HSPFBASECY
11,Green Meadows,"731 E. 89th St.,Los Angeles,CA,90003",731 E. 89th St.,Los Angeles,CA,90003,10,-118.26188131,33.95561254,10,US,11,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,28.1,1863,1059,635,370,285,2032,1349,779,474,411,150835,76428,74406,37.0,2572,1863,1278,784,647,3568,2661,1902,1248,1338,110117,48558,61560,28.0,48,36,15,18,10,54,37,19,11,8,4030,2042,1988,38.0,48,41,19,20,4,65,42,37,20,19,1951,895,1056,32.1,7,2,1,1,1,4,4,1,2,1,406,194,212,26.5,1906,1061,602,309,251,2048,1179,689,388,337,202618,102230,100388,27.0,3907,2153,1190,647,491,4179,2582,1466,857,719,371678,188026,183653
12,Algin Sutton Park,"8800 S Hoover St,Los Angeles,CA,90044",8800 S Hoover St,Los Angeles,CA,90044,11,-118.28695251,33.95723599,11,US,12,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,27.8,1244,659,314,193,159,1263,765,430,273,236,106719,54717,52002,40.4,3615,2739,1917,1223,966,5290,4189,2979,1977,1937,146166,64370,81796,29.1,38,20,19,10,8,44,26,17,7,8,2867,1455,1412,40.6,34,39,17,23,9,54,45,34,29,32,1808,809,999,32.0,4,1,3,1,1,5,1,0,2,1,461,227,233,26.6,1438,777,444,252,192,1507,872,503,311,271,162844,82575,80269,26.9,2799,1446,716,407,298,2858,1646,951,548,477,284448,144887,139561
13,South LA Sports Activity Center,"7020 S Figueroa St,Los Angeles,CA,90003",7020 S Figueroa St,Los Angeles,CA,90003,12,-118.28267916,33.97620663,12,US,13,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,27.8,1572,869,424,262,183,1619,1003,560,325,276,136836,70204,66633,40.4,3403,2479,1741,1107,882,4880,3757,2679,1801,1866,136964,60713,76251,28.2,58,27,18,11,8,61,29,22,11,9,4200,2151,2049,42.2,83,92,49,37,18,125,95,65,43,37,2787,1290,1497,31.5,5,1,3,1,0,3,1,0,1,1,392,192,201,26.8,1899,997,606,315,231,1964,1173,657,407,325,206025,104687,101338,27.2,3651,1918,988,543,376,3751,2227,1256,719,592,362058,184648,177410
14,Mid Valley YMCA (Van Nuys),"6901 Lennox Ave,Van Nuys,CA,91405",6901 Lennox Ave,Van Nuys,CA,91405,13,-118.44551721,34.1962862,13,US,14,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,37.5,3804,2809,1851,1235,1320,4299,3495,2364,1798,2629,174288,87803,86485,34.2,188,126,43,29,21,214,143,66,41,43,13893,6971,6922,32.3,16,15,14,6,5,32,19,8,5,8,2140,1080,1060,42.0,926,662,373,222,192,1210,885,568,334,318,34586,16140,18446,34.1,3,5,5,0,1,9,2,4,2,3,411,213,198,28.0,762,419,236,130,81,1054,670,378,210,167,94116,47891,46225,28.9,1853,1248,648,379,247,2536,1802,1045,592,534,193994,98249,95745
15,Vermont Square Park,"1248 W 47th St,Los Angeles,CA,90037",1248 W 47th St,Los Angeles,CA,90037,14,-118.29706905,34.00054524,14,US,15,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,27.8,1579,945,479,297,233,1774,1119,680,436,457,133017,68225,64792,43.0,3586,2653,1830,1149,997,5028,3978,2800,1947,2214,134442,59950,74492,29.3,56,29,23,13,11,50,35,24,13,17,4165,2157,2008,27.5,288,246,190,144,170,382,353,309,246,272,14462,7237,7225,32.1,4,2,3,0,1,4,4,2,1,5,434,210,225,27.6,1829,968,590,332,254,2007,1243,711,428,348,190211,96383,93828,28.0,3568,1908,997,580,398,3903,2378,1392,822,672,332683,168992,163691
16,Graff Lab,"1038 Venice Blvd,Los Angeles,CA,90015",1038 Venice Blvd,Los Angeles,CA,90015,15,-118.27882426,34.04133246,15,US,16,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,32.0,3182,2077,1294,801,644,3159,2253,1525,1025,1078,198755,106434,92321,42.2,1662,1172,691,391,376,1633,1209,856,660,847,64141,33057,31083,32.1,94,32,32,15,11,67,39,30,21,22,6324,3593,2730,42.0,3307,3015,2062,1400,1398,4528,4046,3024,2197,2369,132945,62741,70204,32.2,8,7,7,2,3,8,6,4,4,5,696,397,299,29.0,2029,1183,689,388,309,2439,1568,913,546,452,214253,111835,102418,29.9,4454,2726,1539,875,680,5304,3638,2208,1346,1126,394256,205736,188520
17,Hill St Parking,"713 N. Hill St.,Los Angeles,CA,90012",713 N. Hill St.,Los Angeles,CA,90012,16,-118.24036256,34.06123617,16,US,17,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,34.4,3025,2086,1394,923,713,3003,2208,1606,1091,1206,167793,90882,76912,42.1,651,414,186,84,81,268,177,121,103,138,24946,16496,8450,32.5,84,19,36,7,10,53,41,22,22,27,4917,2775,2142,44.4,2211,2151,1624,1146,1345,3021,2920,2298,1737,2212,85856,40196,45660,33.3,5,4,8,2,2,4,4,6,4,1,490,289,201,29.2,1493,996,506,319,247,1804,1219,729,438,445,146599,77144,69455,30.7,3721,2527,1581,952,765,4448,3308,2184,1377,1371,292771,153595,139176
18,Andres and Maria Cardenas Rec Center,"14740 Blythe St., Panorama City, CA, 91402",14740 Blythe St., Panorama City, CA,91402,17,-118.45418916,34.21516509,17,US,18,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,36.1,3412,2544,1721,1093,1068,3738,2989,2041,1486,2045,160859,81618,79241,34.0,188,108,45,35,20,209,151,68,39,51,12618,6343,6276,32.1,16,18,14,8,4,38,23,12,4,13,2392,1207,1185,43.2,1069,746,407,253,231,1353,984,639,399,379,38229,17988,20240,34.4,8,5,4,0,2,6,6,3,4,3,432,220,213,28.2,893,520,279,167,126,1250,795,455,251,202,107932,54995,52936,29.1,2181,1487,794,475,329,2962,2078,1227,687,638,223235,113228,110008
19,Highland Park Police Museum,"6045 York Blvd, Los Angeles, CA,90042",6045 York Blvd, Los Angeles, CA,90042,18,-118.18758278,34.11780996,18,US,19,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,41.2,2944,2379,1678,1097,1094,3409,2908,2130,1413,1832,115859,57847,58012,40.8,129,103,79,25,23,158,136,66,34,52,5552,2818,2733,34.4,32,17,12,13,10,40,16,20,14,24,2085,1044,1040,43.1,1262,1010,686,380,355,1570,1341,847,531,508,47621,22154,25467,41.2,2,4,3,0,0,6,3,1,1,2,187,96,91,29.9,719,431,214,133,135,878,620,383,254,220,56301,27968,28332,32.5,2127,1485,938,573,520,2665,2172,1478,894,888,132227,65074,67153
20,Teatro Frida Kahlo,"2332 W. 4th St., Los Angeles, CA, 90057",2332 W. 4th St., Los Angeles, CA,90057,19,-118.27648368,34.06387262,19,US,20,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,34.7,3929,2678,1756,1152,1013,3840,2969,2120,1497,1631,210003,113870,96133,42.2,1004,653,365,175,198,712,490,379,310,453,39790,23794,15996,33.6,88,27,34,12,12,60,38,29,20,19,5547,3200,2348,42.9,3840,3466,2370,1580,1592,5289,4765,3441,2490,2696,151498,71111,80387,33.8,7,9,12,2,5,9,8,5,5,3,679,401,279,30.0,1576,964,546,312,263,2146,1331,771,498,413,170460,89955,80505,31.3,3836,2463,1436,825,686,4945,3448,2145,1368,1190,327366,172748,154618
21,Valley Crossroads Seventh Day Adventist Church,"11350 Glenoaks Blvd., Pacoima, CA, 91331",11350 Glenoaks Blvd., Pacoima, CA,91331,20,-118.41502681,34.27688435,20,US,21,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,33.7,1863,1316,941,603,514,2118,1559,1171,797,937,98078,49363,48714,40.8,209,164,85,53,46,223,203,128,85,82,7245,3519,3726,32.8,22,16,16,9,11,25,34,10,17,17,1915,968,947,45.3,269,212,125,81,75,321,286,175,139,160,9470,4511,4959,36.0,3,4,1,1,1,4,4,0,5,1,238,115,123,29.1,1008,585,352,214,189,1192,782,481,288,227,85570,43192,42378,30.1,2410,1535,1008,613,479,2855,2011,1348,796,702,179931,90702,89230
22,Branford Rec Center,"13306 Branford St., Arleta, CA, 91331",13306 Branford St., Arleta, CA,91331,21,-118.42340042,34.23345071,21,US,22,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,33.7,2771,2038,1338,849,823,2961,2363,1646,1217,1487,143279,72702,70577,33.6,168,108,54,34,31,190,143,74,56,59,9813,4867,4946,31.5,16,14,17,8,10,39,29,16,9,16,2412,1173,1239,44.1,937,679,397,232,219,1252,940,551,365,362,32545,15365,17180,34.0,8,6,3,3,2,4,3,2,5,2,386,198,188,28.3,1161,656,377,234,181,1399,953,535,312,270,119935,60883,59052,29.1,2685,1703,1034,594,441,3281,2333,1405,840,734,241270,122347,118923
23,Elysian Valley Rec Center,"1811 Ripple St., Los Angeles, CA, 90039",1811 Ripple St., Los Angeles, CA,90039,22,-118.24509846,34.09890955,22,US,23,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,38.1,3537,2612,1782,1256,1176,3811,3048,2231,1562,1834,162513,85221,77292,37.9,200,117,68,27,18,131,89,64,39,66,10978,7224,3754,33.8,36,16,17,9,4,46,31,22,14,25,2869,1525,1344,44.3,2188,1735,1206,720,823,2882,2437,1578,1171,1353,77718,36207,41511,36.3,7,5,8,0,2,7,4,5,3,1,376,212,164,30.5,920,558,303,181,163,1320,834,485,323,288,84392,43159,41233,32.4,2589,1733,1147,683,601,3465,2514,1716,1067,1074,182689,93322,89368
24,Queen Anne Recreation Center,"1240 West Blvd., Los Angeles, CA, 90019",1240 West Blvd., Los Angeles, CA,90019,23,-118.33304685,34.0503415,23,US,24,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,35.5,3377,2329,1603,1052,1243,3728,2956,2056,1490,2098,189141,97552,91590,44.1,2191,1671,1022,637,624,2991,2432,1698,1194,1433,82456,37512,44944,33.3,40,25,21,13,13,53,32,20,11,20,3824,2059,1765,41.7,2547,2007,1241,780,707,3294,2672,1784,1207,1214,101104,47306,53799,34.8,4,5,8,3,4,11,10,3,2,5,560,292,269,29.6,1202,742,413,225,177,1682,1144,632,373,281,133872,68576,65296,30.6,2744,1715,934,534,383,3794,2658,1541,892,692,253269,129494,123776
25,Glassel Park Rec Center,"3650 Verdugo Rd., Los Angeles, CA, 90065",3650 Verdugo Rd., Los Angeles, CA,90065,24,-118.23324613,34.11681624,24,US,25,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,41.0,3941,2996,2138,1555,1518,4466,3739,2791,2036,2487,158623,79566,79056,39.9,120,83,54,20,15,115,90,58,24,44,5566,2971,2595,35.8,38,15,14,9,4,40,27,18,10,22,1989,1014,975,43.3,1523,1187,773,440,426,2017,1707,1037,704,693,56631,26123,30508,40.1,5,7,4,0,0,9,3,3,2,1,260,141,119,30.6,715,440,245,136,137,932,631,395,277,254,59386,29555,29832,33.2,2171,1452,986,607,538,2892,2160,1521,984,974,137635,67747,69888
26,Sylmar Recreation Center,"13109 Borden Ave., Sylmar, CA, 91342",13109 Borden Ave., Sylmar, CA,91342,25,-118.44442114,34.30841929,25,US,26,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,35.5,1521,1104,767,486,471,1774,1246,980,653,812,71951,35846,36105,40.6,124,84,59,37,31,120,138,78,60,51,4781,2402,2379,32.9,23,16,13,5,3,18,22,7,11,13,1537,799,738,43.3,172,128,77,55,34,184,180,105,81,102,6679,3170,3510,36.3,1,2,0,0,0,3,2,0,3,1,134,60,74,29.1,641,377,244,130,123,804,505,323,189,141,56266,28423,27843,30.4,1661,1076,699,391,361,2026,1386,940,565,506,121613,61023,60590
27,Clinica Romero,"123 S. Alvarado St., Los Angeles, CA, 90026",123 S. Alvarado St., Los Angeles, CA,90026,26,-118.27074802,34.06606277,26,US,27,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,34.8,3840,2597,1719,1136,976,3709,2851,2046,1439,1566,204373,111086,93288,42.1,886,579,299,135,163,572,384,285,229,351,35687,21941,13746,33.5,83,27,32,12,12,58,37,29,20,18,5450,3144,2306,43.0,3736,3411,2337,1557,1593,5184,4709,3394,2470,2684,148760,69760,78999,33.9,7,9,13,2,5,8,7,6,6,3,668,398,270,30.0,1513,934,534,305,252,2078,1285,745,487,411,163967,86558,77408,31.4,3714,2397,1431,820,678,4790,3362,2122,1348,1192,316217,167021,149196
28,Seoul International Park,"3250 San Marino St, Los Angeles, CA, 90006",3250 San Marino St, Los Angeles, CA,90006,27,-118.30176702,34.05446255,27,US,28,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,33.6,3784,2665,1744,1119,1067,4044,3141,2179,1533,1749,221402,116621,104781,41.8,1578,1157,673,382,427,1779,1339,984,736,968,61301,29719,31582,32.5,84,32,37,13,14,64,40,30,25,23,5913,3330,2583,41.5,3490,2987,1921,1274,1203,4720,4023,2875,2009,2095,139439,65564,73875,32.9,7,7,10,2,5,9,9,4,5,5,764,434,330,29.6,1760,1041,613,338,283,2425,1543,888,535,448,194003,100798,93205,30.7,4122,2607,1472,836,672,5453,3756,2271,1401,1205,365715,189465,176249
29,Sunland-Tujunga Neighborhood Council,"7747 Foothill Blvd #101, Tujunga, CA, 91042",7747 Foothill Blvd #101, Tujunga, CA,91042,28,-118.30104005,34.25749559,28,US,29,RingBuffer,esriMiles,Miles,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,46.9,1391,1016,668,417,388,1414,1172,737,508,644,38111,18976,19135,38.5,29,10,3,4,5,24,9,3,9,5,857,432,425,44.2,12,4,3,4,2,7,6,8,6,2,310,156,153,44.0,197,150,64,25,26,259,127,85,67,31,6439,2967,3473,49.3,4,0,0,0,0,2,1,0,0,1,50,27,23,31.0,43,63,28,14,11,99,70,27,13,16,5788,2831,2957,32.4,210,190,96,57,46,349,212,144,72,76,14675,7127,7548
