FID,OBJECTID,ZIPCODE_x,ZIP,TOOLTIP,NLA_URL,ZIP_INT,ZIPCODE_y,PERCENTAGE,percenta_1,Shape__Area,Shape__Length
105,105,90303,90303,Zip Code: 90303,navigatela/reports/zipcode_county_report.cfm?pk=90303,90303,90303,0.2908%,0.2908,7532858.375,14130.6150844885
106,106,90304,90304,Zip Code: 90304,navigatela/reports/zipcode_county_report.cfm?pk=90304,90304,90304,0.5089%,0.5089,6215523.86328125,15733.4604818662
107,107,90305,90305,Zip Code: 90305,navigatela/reports/zipcode_county_report.cfm?pk=90305,90305,90305,0.4362%,0.4362,6141744.6796875,14220.8717508172
108,108,90401,90401,Zip Code: 90401,navigatela/reports/zipcode_county_report.cfm?pk=90401,90401,90401,0.0727%,0.0727,3188769.1328125,10205.5991486976
109,109,90402,90402,Zip Code: 90402,navigatela/reports/zipcode_county_report.cfm?pk=90402,90402,90402,0.1091%,0.1091,7359213.44140625,18382.3724075896
110,110,90403,90403,Zip Code: 90403,navigatela/reports/zipcode_county_report.cfm?pk=90403,90403,90403,0.0727%,0.0727,5251030.953125,14413.0615279606
111,111,90404,90404,Zip Code: 90404,navigatela/reports/zipcode_county_report.cfm?pk=90404,90404,90404,0.0364%,0.0364,7193051.94921875,15641.7416523779
112,112,90405,90405,Zip Code: 90405,navigatela/reports/zipcode_county_report.cfm?pk=90405,90405,90405,0.1091%,0.1091,10493112.4570313,16826.8860684772
113,113,90501,90501,Zip Code: 90501,navigatela/reports/zipcode_county_report.cfm?pk=90501,90501,0, ,0.0,21228020.40625,26375.805058302
114,114,90502,90502,Zip Code: 90502,navigatela/reports/zipcode_county_report.cfm?pk=90502,90502,0, ,0.0,8524275.64453125,15730.2284971174
115,115,90503,90503,Zip Code: 90503,navigatela/reports/zipcode_county_report.cfm?pk=90503,90503,90503,0.0727%,0.0727,22114229.6171875,22963.4651798018
116,116,90504,90504,Zip Code: 90504,navigatela/reports/zipcode_county_report.cfm?pk=90504,90504,90504,0.1091%,0.1091,14557625.8515625,19431.108097818
117,117,90505,90505,Zip Code: 90505,navigatela/reports/zipcode_county_report.cfm?pk=90505,90505,90505,0.0364%,0.0364,21995023.9492188,25274.8679022587
118,118,90506,90506,Zip Code: 90506,navigatela/reports/zipcode_county_report.cfm?pk=90506,90506,0, ,0.0,619544.87109375,3127.66151079117
119,119,90601,90601,Zip Code: 90601,navigatela/reports/zipcode_county_report.cfm?pk=90601,90601,90601,0.1091%,0.1091,36981593.078125,50214.9844469977
120,120,90602,90602,Zip Code: 90602,navigatela/reports/zipcode_county_report.cfm?pk=90602,90602,90602,0.0727%,0.0727,9915072.03125,29129.3784146281
121,121,90603,90603,Zip Code: 90603,navigatela/reports/zipcode_county_report.cfm?pk=90603,90603,0, ,0.0,11691842.8632813,29659.070089924
122,122,90604,90604,Zip Code: 90604,navigatela/reports/zipcode_county_report.cfm?pk=90604,90604,90604,0.1818%,0.1818,16029017.953125,26362.1233981717
123,123,90605,90605,Zip Code: 90605,navigatela/reports/zipcode_county_report.cfm?pk=90605,90605,90605,0.1454%,0.1454,23443265.671875,49896.8391268618
124,124,90606,90606,Zip Code: 90606,navigatela/reports/zipcode_county_report.cfm?pk=90606,90606,90606,0.0727%,0.0727,14142012.4492188,24493.0709198375
125,125,90623,90623,Zip Code: 90623,navigatela/reports/zipcode_county_report.cfm?pk=90623,90623,0, ,0.0,143654.5078125,1698.19664676466
126,126,90630,90630,Zip Code: 90630,navigatela/reports/zipcode_county_report.cfm?pk=90630,90630,0, ,0.0,173861.91796875,3527.02536600398
127,127,90631,90631,Zip Code: 90631,navigatela/reports/zipcode_county_report.cfm?pk=90631,90631,90631,0.0364%,0.0364,24110894.4960938,27498.7262410102
128,128,90638,90638,Zip Code: 90638,navigatela/reports/zipcode_county_report.cfm?pk=90638,90638,0, ,0.0,29096072.4648438,33761.4199770043
129,129,90639,90639,Zip Code: 90639,navigatela/reports/zipcode_county_report.cfm?pk=90639,90639,0, ,0.0,534057.65234375,3929.03389100281
130,130,90640,90640,Zip Code: 90640,navigatela/reports/zipcode_county_report.cfm?pk=90640,90640,90640,0.3272%,0.3272,32141159.5820313,38307.8947179607
131,131,90650,90650,Zip Code: 90650,navigatela/reports/zipcode_county_report.cfm?pk=90650,90650,90650,0.1091%,0.1091,36718768.734375,34100.4109602156
132,132,90660,90660,Zip Code: 90660,navigatela/reports/zipcode_county_report.cfm?pk=90660,90660,90660,0.1818%,0.1818,35889320.640625,38689.010047732
133,133,90670,90670,Zip Code: 90670,navigatela/reports/zipcode_county_report.cfm?pk=90670,90670,90670,0.0727%,0.0727,32246784.5585938,50053.7791184741
134,134,90701,90701,Zip Code: 90701,navigatela/reports/zipcode_county_report.cfm?pk=90701,90701,0, ,0.0,6124531.4765625,15332.1887323308
135,135,90703,90703,Zip Code: 90703,navigatela/reports/zipcode_county_report.cfm?pk=90703,90703,90703,0.1091%,0.1091,33288913.484375,43992.0330924681
136,136,90706,90706,Zip Code: 90706,navigatela/reports/zipcode_county_report.cfm?pk=90706,90706,90706,0.2181%,0.2181,23216915.1289063,21771.7269353564
137,137,90710,90710,Zip Code: 90710,navigatela/reports/zipcode_county_report.cfm?pk=90710,90710,0, ,0.0,9985430.75390625,17395.8096665273
138,138,90712,90712,Zip Code: 90712,navigatela/reports/zipcode_county_report.cfm?pk=90712,90712,90712,0.1091%,0.1091,15578519.5976563,22740.3902622891
139,139,90713,90713,Zip Code: 90713,navigatela/reports/zipcode_county_report.cfm?pk=90713,90713,0, ,0.0,13140979.1640625,17503.156513709
140,140,90715,90715,Zip Code: 90715,navigatela/reports/zipcode_county_report.cfm?pk=90715,90715,0, ,0.0,6451307.703125,15423.1949440389
141,141,90716,90716,Zip Code: 90716,navigatela/reports/zipcode_county_report.cfm?pk=90716,90716,0, ,0.0,3589352.140625,9538.96808056551
142,142,90717,90717,Zip Code: 90717,navigatela/reports/zipcode_county_report.cfm?pk=90717,90717,90717,0.0364%,0.0364,7397357.57421875,17246.6146555625
143,143,90723,90723,Zip Code: 90723,navigatela/reports/zipcode_county_report.cfm?pk=90723,90723,90723,0.2545%,0.2545,18428843.390625,23151.7326613866
144,144,90731,90731,Zip Code: 90731,navigatela/reports/zipcode_county_report.cfm?pk=90731,90731,90731,0.0727%,0.0727,47949265.453125,49371.7294085596
145,145,90732,90732,Zip Code: 90732,navigatela/reports/zipcode_county_report.cfm?pk=90732,90732,90732,0.0727%,0.0727,11934499.6367188,31763.6044763468
146,146,90744,90744,Zip Code: 90744,navigatela/reports/zipcode_county_report.cfm?pk=90744,90744,0, ,0.0,32797953.7382813,34022.7999472319
147,147,90745,90745,Zip Code: 90745,navigatela/reports/zipcode_county_report.cfm?pk=90745,90745,90745,0.1091%,0.1091,32941931.9804688,30111.6339634013
148,148,90746,90746,Zip Code: 90746,navigatela/reports/zipcode_county_report.cfm?pk=90746,90746,90746,0.4726%,0.4726,19211047.0625,30281.803208377
149,149,90747,90747,Zip Code: 90747,navigatela/reports/zipcode_county_report.cfm?pk=90747,90747,0, ,0.0,2066327.1015625,6300.64147072349
150,150,90755,90755,Zip Code: 90755,navigatela/reports/zipcode_county_report.cfm?pk=90755,90755,0, ,0.0,8293413.27734375,20707.6763980453
151,151,90802,90802,Zip Code: 90802,navigatela/reports/zipcode_county_report.cfm?pk=90802,90802,90802,0.0364%,0.0364,21406464.3867188,67897.6200399497
152,152,90803,90803,Zip Code: 90803,navigatela/reports/zipcode_county_report.cfm?pk=90803,90803,0, ,0.0,18464399.0351563,25153.5935869852
153,153,90804,90804,Zip Code: 90804,navigatela/reports/zipcode_county_report.cfm?pk=90804,90804,90804,0.0364%,0.0364,8024358.328125,17225.5306575834
154,154,90805,90805,Zip Code: 90805,navigatela/reports/zipcode_county_report.cfm?pk=90805,90805,90805,0.0727%,0.0727,28148224.3359375,26832.0980066647
155,155,90806,90806,Zip Code: 90806,navigatela/reports/zipcode_county_report.cfm?pk=90806,90806,90806,0.0727%,0.0727,16952881.453125,35267.4061222872
156,156,90807,90807,Zip Code: 90807,navigatela/reports/zipcode_county_report.cfm?pk=90807,90807,90807,0.0364%,0.0364,18273983.8203125,28850.0755417458
157,157,90808,90808,Zip Code: 90808,navigatela/reports/zipcode_county_report.cfm?pk=90808,90808,90808,0.0727%,0.0727,25483118.7929688,27442.5473751812
158,158,90810,90810,Zip Code: 90810,navigatela/reports/zipcode_county_report.cfm?pk=90810,90810,90810,0.0364%,0.0364,25948536.5507813,29973.7080655578
159,159,90813,90813,Zip Code: 90813,navigatela/reports/zipcode_county_report.cfm?pk=90813,90813,0, ,0.0,13293061.7265625,23272.8171133148
160,160,90814,90814,Zip Code: 90814,navigatela/reports/zipcode_county_report.cfm?pk=90814,90814,90814,0.0364%,0.0364,5054692.9609375,17759.5385648672
161,161,90815,90815,Zip Code: 90815,navigatela/reports/zipcode_county_report.cfm?pk=90815,90815,0, ,0.0,26281623.34375,32475.9710590013
162,162,90822,90822,Zip Code: 90822,navigatela/reports/zipcode_county_report.cfm?pk=90822,90822,0, ,0.0,631907.9375,3242.96455544661
163,163,90831,90831,Zip Code: 90831,navigatela/reports/zipcode_county_report.cfm?pk=90831,90831,0, ,0.0,117604.57421875,1464.87383221942
164,164,90840,90840,Zip Code: 90840,navigatela/reports/zipcode_county_report.cfm?pk=90840,90840,0, ,0.0,1368313.05859375,8090.87724808175
165,165,90846,90846,Zip Code: 90846,navigatela/reports/zipcode_county_report.cfm?pk=90846,90846,0, ,0.0,1674340.140625,7256.3374431937
166,166,91001,91001,Zip Code: 91001,navigatela/reports/zipcode_county_report.cfm?pk=91001,91001,91001,0.2181%,0.2181,122593967.089844,70118.1703728942
167,167,91006,91006,Zip Code: 91006,navigatela/reports/zipcode_county_report.cfm?pk=91006,91006,91006,0.0727%,0.0727,25253247.71875,52535.6406692966
168,168,91007,91007,Zip Code: 91007,navigatela/reports/zipcode_county_report.cfm?pk=91007,91007,91007,0.1091%,0.1091,20665634.4492188,26069.4090350055
169,169,91008,91008,Zip Code: 91008,navigatela/reports/zipcode_county_report.cfm?pk=91008,91008,0, ,0.0,7669670.234375,15914.5254560447
170,170,91010,91010,Zip Code: 91010,navigatela/reports/zipcode_county_report.cfm?pk=91010,91010,91010,0.0364%,0.0364,40948517.6015625,51205.0300971575
171,171,91011,91011,Zip Code: 91011,navigatela/reports/zipcode_county_report.cfm?pk=91011,91011,91011,0.1091%,0.1091,114132577.074219,89188.8439568007
172,172,91016,91016,Zip Code: 91016,navigatela/reports/zipcode_county_report.cfm?pk=91016,91016,91016,0.0364%,0.0364,100089076.933594,81816.955353512
173,173,91020,91020,Zip Code: 91020,navigatela/reports/zipcode_county_report.cfm?pk=91020,91020,0, ,0.0,2787667.05859375,10446.9363793097
174,174,91023,91023,Zip Code: 91023,navigatela/reports/zipcode_county_report.cfm?pk=91023,91023,0, ,0.0,6200954.82421875,11801.1695783442
175,175,91024,91024,Zip Code: 91024,navigatela/reports/zipcode_county_report.cfm?pk=91024,91024,91024,0.1818%,0.1818,211717141.503906,98432.2226318068
176,176,91030,91030,Zip Code: 91030,navigatela/reports/zipcode_county_report.cfm?pk=91030,91030,91030,0.2908%,0.2908,13010884.8671875,16673.030770764
177,177,91040,91040,Zip Code: 91040,navigatela/reports/zipcode_county_report.cfm?pk=91040,91040,91040,0.1091%,0.1091,46765159.5859375,49137.2456608647
178,178,91042,91042,Zip Code: 91042,navigatela/reports/zipcode_county_report.cfm?pk=91042,91042,91042,0.2545%,0.2545,192432367.925781,84043.8395537085
179,179,91046,91046,Zip Code: 91046,navigatela/reports/zipcode_county_report.cfm?pk=91046,91046,0, ,0.0,26038.6484375,664.9822404421
180,180,91101,91101,Zip Code: 91101,navigatela/reports/zipcode_county_report.cfm?pk=91101,91101,91101,0.0727%,0.0727,4753856.51171875,12838.6253374241
181,181,91103,91103,Zip Code: 91103,navigatela/reports/zipcode_county_report.cfm?pk=91103,91103,91103,0.3272%,0.3272,19334539.09375,29739.7685909725
182,182,91104,91104,Zip Code: 91104,navigatela/reports/zipcode_county_report.cfm?pk=91104,91104,91104,0.2545%,0.2545,14335149.3164063,21028.1714584817
183,183,91105,91105,Zip Code: 91105,navigatela/reports/zipcode_county_report.cfm?pk=91105,91105,91105,0.2181%,0.2181,14779357.9101563,23896.9285465687
184,184,91106,91106,Zip Code: 91106,navigatela/reports/zipcode_county_report.cfm?pk=91106,91106,91106,0.1454%,0.1454,10677494.9140625,27718.5764386724
185,185,91107,91107,Zip Code: 91107,navigatela/reports/zipcode_county_report.cfm?pk=91107,91107,91107,0.2545%,0.2545,30545286.625,30558.3460442406
186,186,91108,91108,Zip Code: 91108,navigatela/reports/zipcode_county_report.cfm?pk=91108,91108,91108,0.0364%,0.0364,14393431.2578125,21431.8501076583
187,187,91125,91125,Zip Code: 91125,navigatela/reports/zipcode_county_report.cfm?pk=91125,91125,0, ,0.0,243763.2265625,2863.07936717994
188,188,91126,91126,Zip Code: 91126,navigatela/reports/zipcode_county_report.cfm?pk=91126,91126,0, ,0.0,118405.8984375,1634.28397565399
189,189,91201,91201,Zip Code: 91201,navigatela/reports/zipcode_county_report.cfm?pk=91201,91201,91201,0.1454%,0.1454,11063486.8359375,19134.136448884
190,190,91202,91202,Zip Code: 91202,navigatela/reports/zipcode_county_report.cfm?pk=91202,91202,91202,0.0727%,0.0727,8523737.484375,15280.4816511401
191,191,91203,91203,Zip Code: 91203,navigatela/reports/zipcode_county_report.cfm?pk=91203,91203,91203,0.1091%,0.1091,3365358.8671875,8838.5817462603
192,192,91204,91204,Zip Code: 91204,navigatela/reports/zipcode_county_report.cfm?pk=91204,91204,91204,0.0727%,0.0727,4275404.74609375,14451.6226359972
193,193,91205,91205,Zip Code: 91205,navigatela/reports/zipcode_county_report.cfm?pk=91205,91205,91205,0.2908%,0.2908,8262753.484375,16931.6780568252
194,194,91206,91206,Zip Code: 91206,navigatela/reports/zipcode_county_report.cfm?pk=91206,91206,91206,0.1818%,0.1818,22947891.71875,31443.3935429731
195,195,91207,91207,Zip Code: 91207,navigatela/reports/zipcode_county_report.cfm?pk=91207,91207,91207,0.0364%,0.0364,11598219.7226563,20933.2634547
196,196,91208,91208,Zip Code: 91208,navigatela/reports/zipcode_county_report.cfm?pk=91208,91208,91208,0.1091%,0.1091,29472859.0078125,41040.9193710797
197,197,91210,91210,Zip Code: 91210,navigatela/reports/zipcode_county_report.cfm?pk=91210,91210,91210,0.0364%,0.0364,217763.46875,2428.75683476604
198,198,91214,91214,Zip Code: 91214,navigatela/reports/zipcode_county_report.cfm?pk=91214,91214,91214,0.2908%,0.2908,33243249.5117188,31588.0689824639
199,199,91301,91301,Zip Code: 91301,navigatela/reports/zipcode_county_report.cfm?pk=91301,91301,91301,0.0727%,0.0727,98270328.2617188,51698.9878174221
200,200,91302,91302,Zip Code: 91302,navigatela/reports/zipcode_county_report.cfm?pk=91302,91302,0, ,0.0,113037569.554688,73477.7454933793
201,201,91303,91303,Zip Code: 91303,navigatela/reports/zipcode_county_report.cfm?pk=91303,91303,91303,0.2545%,0.2545,8120356.62109375,14696.1271810747
202,202,91304,91304,Zip Code: 91304,navigatela/reports/zipcode_county_report.cfm?pk=91304,91304,91304,0.2181%,0.2181,36097496.015625,34220.4263221937
203,203,91306,91306,Zip Code: 91306,navigatela/reports/zipcode_county_report.cfm?pk=91306,91306,91306,0.3999%,0.3999,15762412.4921875,20289.7724904164
204,204,91307,91307,Zip Code: 91307,navigatela/reports/zipcode_county_report.cfm?pk=91307,91307,91307,0.1091%,0.1091,16904508.0234375,20164.5904301362
205,205,91311,91311,Zip Code: 91311,navigatela/reports/zipcode_county_report.cfm?pk=91311,91311,91311,0.4362%,0.4362,86448368.5429688,56199.2407099503
206,206,91316,91316,Zip Code: 91316,navigatela/reports/zipcode_county_report.cfm?pk=91316,91316,91316,0.1454%,0.1454,21617430.8867188,23561.5297622202
207,207,91321,91321,Zip Code: 91321,navigatela/reports/zipcode_county_report.cfm?pk=91321,91321,91321,0.0727%,0.0727,108250599.1875,85375.4556707952
208,208,91324,91324,Zip Code: 91324,navigatela/reports/zipcode_county_report.cfm?pk=91324,91324,91324,0.2181%,0.2181,16555504.1835938,23425.2676123121
209,209,91325,91325,Zip Code: 91325,navigatela/reports/zipcode_county_report.cfm?pk=91325,91325,91325,0.3999%,0.3999,18240008.2070313,36210.1697513074
210,210,91326,91326,Zip Code: 91326,navigatela/reports/zipcode_county_report.cfm?pk=91326,91326,91326,0.2181%,0.2181,42568202.2695313,39292.3845109859
211,211,91330,91330,Zip Code: 91330,navigatela/reports/zipcode_county_report.cfm?pk=91330,91330,0, ,0.0,2081565.875,8603.62842146541
212,212,91331,91331,Zip Code: 91331,navigatela/reports/zipcode_county_report.cfm?pk=91331,91331,91331,4.8710%,4.871,32322909.7226563,32342.1924725629
213,213,91335,91335,Zip Code: 91335,navigatela/reports/zipcode_county_report.cfm?pk=91335,91335,91335,0.6907%,0.6907,24851787.6835938,22098.1332139624
214,214,91340,91340,Zip Code: 91340,navigatela/reports/zipcode_county_report.cfm?pk=91340,91340,91340,1.1996%,1.1996,13244479.6210938,20693.4006178599
215,215,91342,91342,Zip Code: 91342,navigatela/reports/zipcode_county_report.cfm?pk=91342,91342,91342,5.7797%,5.7797,249004307.671875,110245.577837593
216,216,91343,91343,Zip Code: 91343,navigatela/reports/zipcode_county_report.cfm?pk=91343,91343,91343,1.0542%,1.0542,21695380.1796875,23852.9358968017
217,217,91344,91344,Zip Code: 91344,navigatela/reports/zipcode_county_report.cfm?pk=91344,91344,91344,0.4726%,0.4726,54364358.34375,36169.3281039922
218,218,91345,91345,Zip Code: 91345,navigatela/reports/zipcode_county_report.cfm?pk=91345,91345,91345,0.6180%,0.618,12381274.703125,16025.4365590315
219,219,91350,91350,Zip Code: 91350,navigatela/reports/zipcode_county_report.cfm?pk=91350,91350,91350,0.1091%,0.1091,45295650.1171875,45130.2457964902
220,220,91351,91351,Zip Code: 91351,navigatela/reports/zipcode_county_report.cfm?pk=91351,91351,91351,0.1091%,0.1091,45016186.6210938,44214.7983563554
221,221,91352,91352,Zip Code: 91352,navigatela/reports/zipcode_county_report.cfm?pk=91352,91352,91352,1.3086%,1.3086,56602978.21875,60131.7289997155
222,222,91354,91354,Zip Code: 91354,navigatela/reports/zipcode_county_report.cfm?pk=91354,91354,91354,0.2181%,0.2181,21572982.1835938,23792.9621509276
223,223,91355,91355,Zip Code: 91355,navigatela/reports/zipcode_county_report.cfm?pk=91355,91355,91355,0.0727%,0.0727,94329053.2539063,78604.9369842262
224,224,91356,91356,Zip Code: 91356,navigatela/reports/zipcode_county_report.cfm?pk=91356,91356,91356,0.0727%,0.0727,28412198.2304688,26797.5396083955
225,225,91361,91361,Zip Code: 91361,navigatela/reports/zipcode_county_report.cfm?pk=91361,91361,0, ,0.0,20002174.7617188,23239.6742177642
226,226,91362,91362,Zip Code: 91362,navigatela/reports/zipcode_county_report.cfm?pk=91362,91362,0, ,0.0,3854753.515625,9109.82797221089
227,227,91364,91364,Zip Code: 91364,navigatela/reports/zipcode_county_report.cfm?pk=91364,91364,91364,0.1091%,0.1091,27229192.0898438,27688.6360961144
228,228,91367,91367,Zip Code: 91367,navigatela/reports/zipcode_county_report.cfm?pk=91367,91367,91367,0.2181%,0.2181,29458169.359375,32105.2068193365
229,229,91381,91381,Zip Code: 91381,navigatela/reports/zipcode_county_report.cfm?pk=91381,91381,91381,0.0727%,0.0727,64115992.2851563,48641.4869266336
230,230,91382,91382,Zip Code: 91382,navigatela/reports/zipcode_county_report.cfm?pk=91382,91382,0, ,0.0,38705188.2148438,41849.8286282433
231,231,91384,91384,Zip Code: 91384,navigatela/reports/zipcode_county_report.cfm?pk=91384,91384,91384,0.0727%,0.0727,643654397.347656,169577.476958622
232,232,91387,91387,Zip Code: 91387,navigatela/reports/zipcode_county_report.cfm?pk=91387,91387,91387,0.1091%,0.1091,109103616.886719,75858.1896216678
233,233,91390,91390,Zip Code: 91390,navigatela/reports/zipcode_county_report.cfm?pk=91390,91390,91390,0.0727%,0.0727,910972167.320313,211343.373348663
234,234,91401,91401,Zip Code: 91401,navigatela/reports/zipcode_county_report.cfm?pk=91401,91401,91401,0.5089%,0.5089,13518233.6015625,19024.1212937021
235,235,91402,91402,Zip Code: 91402,navigatela/reports/zipcode_county_report.cfm?pk=91402,91402,91402,2.1083%,2.1083,14174822.234375,21299.4216763529
236,236,91403,91403,Zip Code: 91403,navigatela/reports/zipcode_county_report.cfm?pk=91403,91403,91403,0.2181%,0.2181,13169546.4765625,25298.6542323472
237,237,91405,91405,Zip Code: 91405,navigatela/reports/zipcode_county_report.cfm?pk=91405,91405,91405,0.9451%,0.9451,12555322.1601563,18076.5235194529
238,238,91406,91406,Zip Code: 91406,navigatela/reports/zipcode_county_report.cfm?pk=91406,91406,91406,0.8724%,0.8724,25784781.6484375,25138.8068001969
239,239,91411,91411,Zip Code: 91411,navigatela/reports/zipcode_county_report.cfm?pk=91411,91411,91411,0.1818%,0.1818,7309764.67578125,16236.2283242526
240,240,91423,91423,Zip Code: 91423,navigatela/reports/zipcode_county_report.cfm?pk=91423,91423,91423,0.0727%,0.0727,15401707.9375,29899.8349464058
241,241,91436,91436,Zip Code: 91436,navigatela/reports/zipcode_county_report.cfm?pk=91436,91436,0, ,0.0,24170131.015625,28707.7386850455
242,242,91501,91501,Zip Code: 91501,navigatela/reports/zipcode_county_report.cfm?pk=91501,91501,91501,0.0364%,0.0364,17051938.3125,22633.4785733382
243,243,91502,91502,Zip Code: 91502,navigatela/reports/zipcode_county_report.cfm?pk=91502,91502,91502,0.1818%,0.1818,5402597.39453125,12996.2614845726
