FID,OBJECTID,ZIPCODE_x,ZIP,TOOLTIP,NLA_URL,ZIP_INT,ZIPCODE_y,PERCENTAGE,percenta_1,Shape__Area,Shape__Length
284,284,91775,91775,Zip Code: 91775,navigatela/reports/zipcode_county_report.cfm?pk=91775,91775,91775,0.0364%,0.0364,11610304.8789063,21937.9707447855
285,285,91776,91776,Zip Code: 91776,navigatela/reports/zipcode_county_report.cfm?pk=91776,91776,91776,0.1091%,0.1091,13190074.0703125,22697.9493022121
286,286,91780,91780,Zip Code: 91780,navigatela/reports/zipcode_county_report.cfm?pk=91780,91780,91780,0.1818%,0.1818,14473463.859375,24874.227956805
287,287,91789,91789,Zip Code: 91789,navigatela/reports/zipcode_county_report.cfm?pk=91789,91789,91789,0.0364%,0.0364,59706643.5507813,52330.846151702
288,288,91790,91790,Zip Code: 91790,navigatela/reports/zipcode_county_report.cfm?pk=91790,91790,91790,0.0364%,0.0364,22018458.5117188,33744.5977962909
289,289,91791,91791,Zip Code: 91791,navigatela/reports/zipcode_county_report.cfm?pk=91791,91791,0, ,0.0,24962565.9257813,33933.9050349298
290,290,91792,91792,Zip Code: 91792,navigatela/reports/zipcode_county_report.cfm?pk=91792,91792,0, ,0.0,14532244.1289063,28610.4358218428
291,291,91801,91801,Zip Code: 91801,navigatela/reports/zipcode_county_report.cfm?pk=91801,91801,91801,0.1818%,0.1818,16400651.5195313,25208.3503166128
292,292,91803,91803,Zip Code: 91803,navigatela/reports/zipcode_county_report.cfm?pk=91803,91803,91803,0.1818%,0.1818,12177695.4804688,19875.8315526108
293,293,92397,92397,Zip Code: 92397,navigatela/reports/zipcode_county_report.cfm?pk=92397,92397,0, ,0.0,136071116.113281,52463.0948510788
294,294,92821,92821,Zip Code: 92821,navigatela/reports/zipcode_county_report.cfm?pk=92821,92821,0, ,0.0,12223826.5820313,23962.3416053247
295,295,92823,92823,Zip Code: 92823,navigatela/reports/zipcode_county_report.cfm?pk=92823,92823,0, ,0.0,19863855.546875,23859.4227208119
296,296,93243,93243,Zip Code: 93243,navigatela/reports/zipcode_county_report.cfm?pk=93243,93243,0, ,0.0,225740367.648438,89848.7711101876
297,297,93510,93510,Zip Code: 93510,navigatela/reports/zipcode_county_report.cfm?pk=93510,93510,0, ,0.0,303721771.582031,113453.474957445
298,298,93523,93523,Zip Code: 93523,navigatela/reports/zipcode_county_report.cfm?pk=93523,93523,0, ,0.0,290308539.042969,112681.696334639
299,299,93532,93532,Zip Code: 93532,navigatela/reports/zipcode_county_report.cfm?pk=93532,93532,0, ,0.0,432666077.542969,169247.921328183
300,300,93534,93534,Zip Code: 93534,navigatela/reports/zipcode_county_report.cfm?pk=93534,93534,0, ,0.0,84774210.6445313,76871.3574298313
301,301,93535,93535,Zip Code: 93535,navigatela/reports/zipcode_county_report.cfm?pk=93535,93535,93535,0.0364%,0.0364,980969904.035156,188660.235964418
302,302,93536,93536,Zip Code: 93536,navigatela/reports/zipcode_county_report.cfm?pk=93536,93536,0, ,0.0,1071760935.17969,234166.964599581
303,303,93543,93543,Zip Code: 93543,navigatela/reports/zipcode_county_report.cfm?pk=93543,93543,0, ,0.0,278349740.664063,117392.11198412
304,304,93544,93544,Zip Code: 93544,navigatela/reports/zipcode_county_report.cfm?pk=93544,93544,0, ,0.0,364671721.167969,130716.477376718
305,305,93550,93550,Zip Code: 93550,navigatela/reports/zipcode_county_report.cfm?pk=93550,93550,93550,0.0727%,0.0727,615748651.945313,183680.920742712
306,306,93551,93551,Zip Code: 93551,navigatela/reports/zipcode_county_report.cfm?pk=93551,93551,0, ,0.0,308338949.714844,124222.264289624
307,307,93552,93552,Zip Code: 93552,navigatela/reports/zipcode_county_report.cfm?pk=93552,93552,93552,0.0364%,0.0364,261652083.4375,104945.528904287
308,308,93553,93553,Zip Code: 93553,navigatela/reports/zipcode_county_report.cfm?pk=93553,93553,0, ,0.0,217618758.949219,112775.600900651
309,309,93563,93563,Zip Code: 93563,navigatela/reports/zipcode_county_report.cfm?pk=93563,93563,0, ,0.0,283613957.714844,106663.544734563
310,310,93591,93591,Zip Code: 93591,navigatela/reports/zipcode_county_report.cfm?pk=93591,93591,0, ,0.0,357927942.597656,158168.851025753
311,311,90704,90704,Zip Code: 90704,navigatela/reports/zipcode_county_report.cfm?pk=90704,90704,0, ,0.0,486564640.984375,245072.015487088
